,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
0,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,24.3,5,33.0,3.4,1157.0,76.7,438.0,489.0,179.0,1.8,66.0,25.0,97.0,41.0,27.0,46.0,58.7,35.0,45.0,100.0,1431.0,36.0,21.0,33.0,63.6,117.0,37.0,9.0,7.0,10.0,41.2,885.0,27.0,120.0,28.0,42.0,664.0,233.0,260.0,234.0,18,17.0,214.0,37.85652549697493,42.26447709593777,15.47104580812446,76.49092480553155,2.33362143474503,2.4200518582541055,3.630077787381158,57.38980121002593,20.138288677614522,22.471910112359552,20.224719101123597,10.371650821089023,78.3,-1.6,2017
1,Rolando Aarons,"FW,MF",Newcastle Utd,eng Premier League,1.5,0,2.0,0.2,43.0,69.8,26.0,9.0,4.0,0.0,0.0,1.0,0.0,0.0,2.0,4.0,50.0,3.0,2.0,7.0,67.0,5.0,3.0,4.0,75.0,10.0,2.0,0.0,2.0,3.0,40.0,42.0,1.0,9.0,2.0,3.0,31.0,11.0,1.0,0.0,1,5.0,10.0,60.46511627906977,20.930232558139537,9.30232558139535,97.67441860465117,2.3255813953488373,4.651162790697675,6.976744186046512,72.09302325581395,25.58139534883721,2.3255813953488373,0.0,20.930232558139537,76.2,-6.4,2017
2,Rolando Aarons,"MF,FW",Hellas Verona,it Serie A,5.7,0,3.0,0.2,115.0,70.4,63.0,34.0,8.0,0.2,5.0,6.0,9.0,3.0,1.0,5.0,20.0,4.0,1.0,13.0,173.0,7.0,9.0,18.0,50.0,14.0,6.0,1.0,7.0,15.0,31.8,106.0,4.0,32.0,4.0,6.0,76.0,19.0,20.0,2.0,9,22.0,23.0,54.78260869565217,29.565217391304348,6.956521739130435,92.17391304347827,3.4782608695652173,3.4782608695652173,5.217391304347826,66.08695652173913,16.52173913043478,17.391304347826086,1.7391304347826086,27.82608695652174,71.1,-0.7,2017
3,Ignazio Abate,DF,Milan,it Serie A,11.7,1,4.0,0.3,774.0,80.7,280.0,337.0,133.0,0.6,58.0,20.0,62.0,26.0,11.0,18.0,61.1,29.0,4.0,25.0,870.0,12.0,1.0,5.0,20.0,66.0,21.0,1.0,5.0,4.0,55.6,659.0,9.0,122.0,16.0,26.0,466.0,119.0,189.0,104.0,14,9.0,128.0,36.17571059431525,43.54005167958656,17.183462532299743,85.14211886304909,1.1627906976744187,2.0671834625322996,3.359173126614987,60.20671834625323,15.37467700258398,24.41860465116279,13.436692506459949,15.762273901808786,76.8,3.9,2017
4,Aymen Abdennour,DF,Marseille,fr Ligue 1,5.6,0,2.0,0.1,336.0,90.5,99.0,174.0,56.0,0.0,11.0,0.0,7.0,1.0,4.0,7.0,57.1,6.0,2.0,8.0,359.0,2.0,1.0,1.0,100.0,11.0,1.0,0.0,3.0,0.0,100.0,335.0,1.0,38.0,9.0,0.0,285.0,24.0,27.0,0.0,6,3.0,18.0,29.464285714285715,51.785714285714285,16.666666666666668,99.70238095238095,0.2976190476190476,2.6785714285714284,0.0,84.82142857142857,7.142857142857143,8.035714285714286,0.0,11.30952380952381,90.6,-0.1,2017
5,Aly Abeid,DF,Levante,es La Liga,0.9,0,0.0,0.0,38.0,76.3,16.0,11.0,9.0,0.2,0.0,2.0,2.0,3.0,1.0,1.0,100.0,2.0,1.0,4.0,46.0,0.0,0.0,0.0,,3.0,2.0,0.0,0.0,2.0,0.0,31.0,0.0,1.0,0.0,2.0,20.0,10.0,8.0,7.0,1,2.0,5.0,42.10526315789474,28.94736842105263,23.68421052631579,81.57894736842105,0.0,0.0,5.2631578947368425,52.63157894736842,26.31578947368421,21.05263157894737,18.42105263157895,2.6315789473684212,73.8,2.5,2017
6,Mehdi Abeid,MF,Dijon,fr Ligue 1,13.1,0,21.0,1.0,611.0,84.9,196.0,281.0,109.0,0.2,48.0,2.0,47.0,15.0,4.0,23.0,17.4,23.0,15.0,36.0,762.0,16.0,11.0,22.0,50.0,40.0,13.0,1.0,3.0,5.0,37.5,598.0,8.0,78.0,20.0,7.0,494.0,45.0,72.0,4.0,16,8.0,87.0,32.0785597381342,45.99018003273322,17.839607201309327,97.87234042553192,1.309328968903437,3.2733224222585924,1.1456628477905073,80.85106382978724,7.364975450081833,11.783960720130933,0.6546644844517185,12.76595744680851,86.2,-1.3,2017
7,David Abraham,DF,Eint Frankfurt,de Bundesliga,25.6,0,12.0,0.5,1313.0,82.3,275.0,655.0,369.0,0.4,66.0,3.0,91.0,16.0,24.0,41.0,58.5,39.0,23.0,66.0,1561.0,13.0,13.0,14.0,92.9,78.0,11.0,0.0,62.0,26.0,70.5,1274.0,32.0,147.0,68.0,6.0,823.0,165.0,325.0,7.0,29,88.0,169.0,20.944402132520946,49.88575780654988,28.103579588728103,97.02970297029702,2.437166793602437,5.178979436405179,0.456968773800457,62.680883472962684,12.566641279512567,24.752475247524753,0.5331302361005331,11.195734958111196,80.5,1.8,2017
8,Tammy Abraham,FW,Swansea City,eng Premier League,19.2,5,42.0,6.7,305.0,71.1,154.0,91.0,30.0,1.0,14.0,10.0,22.0,35.0,2.0,12.0,16.7,9.0,5.0,19.0,556.0,72.0,30.0,60.0,50.0,32.0,10.0,5.0,53.0,87.0,37.9,275.0,1.0,116.0,5.0,14.0,198.0,68.0,39.0,1.0,6,140.0,54.0,50.49180327868852,29.83606557377049,9.836065573770492,90.1639344262295,0.32786885245901637,1.639344262295082,4.590163934426229,64.91803278688525,22.295081967213115,12.78688524590164,0.32786885245901637,38.032786885245905,70.1,1.0,2017
9,Amir Abrashi,MF,Freiburg,de Bundesliga,9.4,0,5.0,0.2,335.0,77.6,157.0,124.0,42.0,0.5,20.0,4.0,30.0,12.0,11.0,21.0,52.4,20.0,11.0,48.0,471.0,9.0,5.0,11.0,45.5,25.0,9.0,1.0,21.0,19.0,52.5,329.0,5.0,85.0,9.0,4.0,205.0,52.0,78.0,1.0,9,40.0,55.0,46.865671641791046,37.014925373134325,12.537313432835822,98.2089552238806,1.492537313432836,2.6865671641791047,1.1940298507462686,61.19402985074627,15.522388059701493,23.28358208955224,0.29850746268656714,25.37313432835821,73.7,3.9,2017
