,Player,Pos,Squad,Comp,90s,Gls,Sh,npxG,Att,Cmp%,Att.1,Att.2,Att.3,xA,1/3_x,PPA,Prog_x,SCA,TklW,Att_def,Tkl%,Blocks,Int,Tkl+Int,Touches,Att Pen,Succ,Att_pos,Succ%,Prog_y,1/3_y,CPA,Won,Lost,Won%,Live,FK,Press,Sw,Crs,Ground,Low,High,TI,Out.1,Att_aer,Prog+,short_model,medium_model,long_model,live_model,fk_model,sw_model,crs_model,ground_model,low_model,high_model,ti_model,press_model,model_final,diff_pass,Season
0,Ismael Aaneba,DF,Strasbourg,fr Ligue 1,2.3,0,0.0,0.0,122.0,65.6,40.0,59.0,18.0,0.5,6.0,2.0,12.0,2.0,3.0,7.0,42.9,7.0,5.0,19.0,157.0,0.0,2.0,3.0,66.7,11.0,2.0,0.0,1.0,4.0,20.0,92.0,4.0,16.0,5.0,5.0,67.0,11.0,44.0,26.0,6,5.0,23.0,32.78688524590164,48.36065573770492,14.754098360655737,75.40983606557377,3.278688524590164,4.098360655737705,4.098360655737705,54.91803278688525,9.01639344262295,36.0655737704918,21.311475409836067,13.114754098360656,79.0,-13.4,2018
1,Patrick van Aanholt,DF,Crystal Palace,eng Premier League,35.5,3,45.0,2.7,1973.0,80.9,925.0,737.0,246.0,3.5,114.0,63.0,216.0,70.0,18.0,44.0,40.9,58.0,51.0,102.0,2319.0,79.0,26.0,44.0,59.1,205.0,62.0,19.0,13.0,12.0,52.0,1609.0,50.0,242.0,27.0,56.0,1322.0,346.0,305.0,312.0,34,25.0,421.0,46.88291941206285,37.354282818043586,12.468322351748606,81.55093765838824,2.534211860111505,1.3684744044602128,2.8383172833248858,67.0045615813482,17.536746071971617,15.458692346680182,15.813482007095793,12.265585402939685,81.5,-0.6,2018
2,Ignazio Abate,DF,Milan,it Serie A,14.5,0,1.0,0.0,918.0,83.4,325.0,401.0,167.0,0.3,73.0,13.0,77.0,18.0,13.0,30.0,43.3,34.0,14.0,51.0,1056.0,9.0,5.0,9.0,55.6,56.0,14.0,2.0,10.0,7.0,58.8,804.0,19.0,144.0,14.0,20.0,625.0,139.0,154.0,95.0,12,17.0,133.0,35.40305010893246,43.68191721132898,18.191721132897605,87.58169934640523,2.0697167755991286,1.5250544662309369,2.178649237472767,68.08278867102396,15.14161220043573,16.775599128540303,10.348583877995642,15.686274509803921,81.5,1.9,2018
3,Issah Abbas,FW,Mainz 05,de Bundesliga,0.1,0,1.0,0.0,2.0,50.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,5.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.0,50.0,0.0,50.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,85.8,-35.8,2018
4,Yunis Abdelhamid,DF,Reims,fr Ligue 1,38.0,0,18.0,1.7,1576.0,83.6,339.0,818.0,394.0,0.1,51.0,3.0,59.0,20.0,26.0,43.0,60.5,78.0,46.0,113.0,2023.0,26.0,22.0,24.0,91.7,41.0,4.0,0.0,88.0,47.0,65.2,1522.0,52.0,187.0,53.0,0.0,1173.0,119.0,284.0,2.0,36,135.0,100.0,21.51015228426396,51.90355329949239,25.0,96.57360406091371,3.299492385786802,3.3629441624365484,0.0,74.42893401015229,7.550761421319797,18.02030456852792,0.12690355329949238,11.865482233502538,85.5,-1.9,2018
5,Mehdi Abeid,MF,Dijon,fr Ligue 1,22.5,3,35.0,2.4,1081.0,85.0,438.0,431.0,183.0,1.5,87.0,11.0,72.0,43.0,13.0,41.0,31.7,37.0,24.0,82.0,1356.0,27.0,38.0,61.0,62.3,95.0,20.0,1.0,16.0,14.0,53.3,1048.0,16.0,198.0,32.0,13.0,828.0,96.0,157.0,4.0,26,30.0,167.0,40.51803885291397,39.870490286771506,16.92876965772433,96.9472710453284,1.4801110083256244,2.9602220166512487,1.2025901942645698,76.59574468085107,8.880666049953746,14.52358926919519,0.3700277520814061,18.316373728029603,83.1,1.9,2018
6,Charles Abi,"MF,FW",Saint-Etienne,fr Ligue 1,0.4,0,1.0,0.2,16.0,37.5,7.0,4.0,3.0,0.0,0.0,2.0,2.0,2.0,4.0,5.0,80.0,0.0,1.0,7.0,29.0,3.0,2.0,3.0,66.7,1.0,1.0,0.0,2.0,1.0,66.7,16.0,0.0,5.0,0.0,0.0,9.0,2.0,5.0,0.0,1,3.0,3.0,43.75,25.0,18.75,100.0,0.0,0.0,0.0,56.25,12.5,31.25,0.0,31.25,63.3,-25.8,2018
7,David Abraham,DF,Eint Frankfurt,de Bundesliga,15.8,0,5.0,0.4,671.0,77.5,171.0,288.0,199.0,0.1,58.0,7.0,66.0,11.0,8.0,26.0,30.8,40.0,15.0,43.0,828.0,8.0,4.0,5.0,80.0,57.0,15.0,0.0,27.0,16.0,62.8,648.0,20.0,101.0,24.0,4.0,427.0,73.0,171.0,3.0,12,43.0,123.0,25.484351713859912,42.92101341281669,29.657228017883757,96.57228017883756,2.9806259314456036,3.5767511177347244,0.5961251862891207,63.63636363636363,10.879284649776453,25.484351713859912,0.44709388971684055,15.052160953800298,77.7,-0.2,2018
8,Amir Abrashi,MF,Freiburg,de Bundesliga,8.8,0,7.0,0.2,384.0,86.7,174.0,162.0,34.0,0.1,22.0,1.0,16.0,4.0,4.0,20.0,20.0,11.0,12.0,31.0,463.0,4.0,6.0,7.0,85.7,25.0,9.0,1.0,5.0,6.0,45.5,374.0,6.0,77.0,4.0,1.0,291.0,47.0,46.0,2.0,4,11.0,41.0,45.3125,42.1875,8.854166666666666,97.39583333333333,1.5625,1.0416666666666667,0.2604166666666667,75.78125,12.239583333333334,11.979166666666666,0.5208333333333334,20.052083333333332,82.8,3.9,2018
9,Francesco Acerbi,DF,Lazio,it Serie A,36.8,3,19.0,3.0,1787.0,87.0,500.0,875.0,389.0,0.6,112.0,6.0,94.0,22.0,14.0,26.0,53.8,63.0,43.0,94.0,2162.0,27.0,9.0,11.0,81.8,137.0,36.0,2.0,78.0,36.0,68.4,1721.0,51.0,262.0,48.0,8.0,1284.0,184.0,319.0,15.0,32,114.0,231.0,27.979854504756574,48.96474538332401,21.768326804700617,96.30665920537213,2.853945159485171,2.6860660324566314,0.4476776720761052,71.85226636821488,10.29658645775042,17.851147174034693,0.8393956351426972,14.661443760492446,83.5,3.5,2018
